town,office,party,candidate,votes
Cumberland,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,6491
Cumberland,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,4198
Cumberland,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,6418
Cumberland,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,4606
Cumberland,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,5853
Cumberland,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,4516
Cumberland,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,7396
Cumberland,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,3342
Cumberland,QUESTION 8 - TOWN OF CUMBERLAND,NON,Question 8 APPROVE,5920
Cumberland,QUESTION 8 - TOWN OF CUMBERLAND,NON,Question 8 REJECT,5256
Cumberland,QUESTION 9 - TOWN OF CUMBERLAND,NON,Question 9 APPROVE,9637
Cumberland,QUESTION 9 - TOWN OF CUMBERLAND,NON,Question 9 REJECT,1597
East Greenwich,SENATOR IN CONGRESS,DEM,John F. REED,3326
East Greenwich,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,2152
East Greenwich,SENATOR IN CONGRESS,NON,WRITE-IN,5
East Greenwich,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,3014
East Greenwich,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,2442
East Greenwich,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,11
East Greenwich,GOVERNOR,DEM,Gina M. RAIMONDO,2364
East Greenwich,GOVERNOR,REP,Allan W. FUNG,2315
East Greenwich,GOVERNOR,MOD,"Robert J. HEALEY, JR.",848
East Greenwich,GOVERNOR,IND,Kate L. FLETCHER,42
East Greenwich,GOVERNOR,IND,Leon M. KAYARIAN,15
East Greenwich,GOVERNOR,NON,WRITE-IN,8
East Greenwich,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,2421
East Greenwich,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,2321
East Greenwich,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,377
East Greenwich,LIEUTENANT GOVERNOR,Lib,Tony JONES,187
East Greenwich,LIEUTENANT GOVERNOR,NON,WRITE-IN,13
East Greenwich,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",2688
East Greenwich,SECRETARY OF STATE,DEM,Nellie M. GORBEA,2572
East Greenwich,SECRETARY OF STATE,NON,WRITE-IN,7
East Greenwich,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,3237
East Greenwich,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,2146
East Greenwich,ATTORNEY GENERAL,NON,WRITE-IN,4
East Greenwich,GENERAL TREASURER,IND,Ernest A. ALMONTE,2722
East Greenwich,GENERAL TREASURER,DEM,Seth MAGAZINER,2477
East Greenwich,GENERAL TREASURER,NON,WRITE-IN,6
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,DEM,Leonidas P. RAPTAKIS,149
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,REP,Michael E. MADONNA,124
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 33,NON,WRITE-IN,0
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,REP,Mark W. GEE,3199
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,DEM,James M. CALLAGHAN,1874
East Greenwich,SENATOR IN GENERAL ASSEMBLY DISTRICT 35,NON,WRITE-IN,3
East Greenwich,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 30,REP,Antonio GIARRUSSO,4158
East Greenwich,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 30,NON,WRITE-IN,77
East Greenwich,TOWN MODERATOR TOWN OF EAST GREENWICH,REP,"Arthur Chuck BARTON, III",4138
East Greenwich,TOWN MODERATOR TOWN OF EAST GREENWICH,NON,WRITE-IN,61
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,REP,Michael B. ISAACS,3481
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,DEM,Mark SCHWAGER,3064
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,REP,Suzanne McGee CIENKI,2984
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,REP,Sean M. TODD,2685
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,DEM,William C. STONE,2658
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,REP,Edward J. FIELD,2456
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,REP,Eugene H. DUMAS,2452
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,IND,Robert J. VESPIA,2065
East Greenwich,TOWN COUNCIL TOWN OF EAST GREENWICH,NON,WRITE-IN,37
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,IND,Yan SUN,2892
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,IND,Michael P. FAIN,2802
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,REP,Mary Ellen WINTERS,2748
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,DEM,David OSBORNE,2618
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,REP,David R. GREEN,2406
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,REP,Christen B. MEYER,2216
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,IND,John G. SOMMER,1871
East Greenwich,SCHOOL COMMITTEE TOWN OF EAST GREENWICH,NON,WRITE-IN,15
East Greenwich,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,2752
East Greenwich,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,2597
East Greenwich,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,3737
East Greenwich,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,1457
East Greenwich,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,2623
East Greenwich,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,2546
East Greenwich,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,3433
East Greenwich,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,1717
East Greenwich,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,3007
East Greenwich,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,2269
East Greenwich,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,2999
East Greenwich,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,1994
East Greenwich,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,3515
East Greenwich,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,1585
East Greenwich,QUESTION 8 - TOWN OF EAST GREENWICH,NON,Question 8 REJECT,2578
East Greenwich,QUESTION 8 - TOWN OF EAST GREENWICH,NON,Question 8 APPROVE,2445
East Greenwich,QUESTION 9 - TOWN OF EAST GREENWICH,NON,Question 9 APPROVE,3710
East Greenwich,QUESTION 9 - TOWN OF EAST GREENWICH,NON,Question 9 REJECT,1254
East Greenwich,QUESTION 10 - TOWN OF EAST GREENWICH,NON,Question 10 APPROVE,3895
East Greenwich,QUESTION 10 - TOWN OF EAST GREENWICH,NON,Question 10 REJECT,998
East Greenwich,QUESTION 11 - TOWN OF EAST GREENWICH,NON,Question 11 APPROVE,4338
East Greenwich,QUESTION 11 - TOWN OF EAST GREENWICH,NON,Question 11 REJECT,873
East Providence,SENATOR IN CONGRESS,DEM,John F. REED,10095
East Providence,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,3259
East Providence,SENATOR IN CONGRESS,NON,WRITE-IN,28
East Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,DEM,David N. CICILLINE,8078
East Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,REP,Cormick Brendan LYNCH,5300
East Providence,REPRESENTATIVE IN CONGRESS DISTRICT 1,NON,WRITE-IN,35
East Providence,GOVERNOR,DEM,Gina M. RAIMONDO,5958
East Providence,GOVERNOR,MOD,"Robert J. HEALEY, JR.",3804
East Providence,GOVERNOR,REP,Allan W. FUNG,3718
East Providence,GOVERNOR,IND,Kate L. FLETCHER,128
East Providence,GOVERNOR,IND,Leon M. KAYARIAN,57
East Providence,GOVERNOR,NON,WRITE-IN,40
East Providence,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,7873
East Providence,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,3664
East Providence,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,1244
East Providence,LIEUTENANT GOVERNOR,Lib,Tony JONES,417
East Providence,LIEUTENANT GOVERNOR,NON,WRITE-IN,44
East Providence,SECRETARY OF STATE,DEM,Nellie M. GORBEA,8677
East Providence,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",4428
East Providence,SECRETARY OF STATE,NON,WRITE-IN,37
East Providence,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,8253
East Providence,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,5018
East Providence,ATTORNEY GENERAL,NON,WRITE-IN,26
East Providence,GENERAL TREASURER,DEM,Seth MAGAZINER,8403
East Providence,GENERAL TREASURER,IND,Ernest A. ALMONTE,4725
East Providence,GENERAL TREASURER,NON,WRITE-IN,26
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 14,DEM,Daniel DaPONTE,5370
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 14,NON,WRITE-IN,128
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 18,DEM,"William J. CONLEY, JR.",4253
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 18,NON,WRITE-IN,123
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,DEM,Cynthia Armour COYNE,954
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,REP,Giovanni D. CICIONE,576
East Providence,SENATOR IN GENERAL ASSEMBLY DISTRICT 32,NON,WRITE-IN,3
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 63,DEM,Katherine S. KAZARIAN,3523
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 63,NON,WRITE-IN,95
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 64,DEM,Helio MELO,2137
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 64,REP,Robert M. BOTELHO,682
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 64,NON,WRITE-IN,8
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 65,DEM,Gregg AMORE,3535
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 65,NON,WRITE-IN,94
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,DEM,Joy HEARN,1000
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,IND,Joel HELLMANN,662
East Providence,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 66,NON,WRITE-IN,6
East Providence,COUNCIL EAST PROVIDENCE WARD 1,NON,Robert BRITTO,2077
East Providence,COUNCIL EAST PROVIDENCE WARD 1,NON,David SULLIVAN,1247
East Providence,COUNCIL EAST PROVIDENCE WARD 1,NON,WRITE-IN,13
East Providence,COUNCIL EAST PROVIDENCE WARD 2,NON,Helder J. CUNHA,1142
East Providence,COUNCIL EAST PROVIDENCE WARD 2,NON,Brian D. CASTRO,812
East Providence,COUNCIL EAST PROVIDENCE WARD 2,NON,WRITE-IN,21
East Providence,COUNCIL EAST PROVIDENCE WARD 3,NON,"Thomas A. ROSE, JR.",1440
East Providence,COUNCIL EAST PROVIDENCE WARD 3,NON,Candace Cain SEEL,1303
East Providence,COUNCIL EAST PROVIDENCE WARD 3,NON,WRITE-IN,11
East Providence,COUNCIL EAST PROVIDENCE WARD 4,NON,Timothy J. CONLEY,2151
East Providence,COUNCIL EAST PROVIDENCE WARD 4,NON,Christine A. ROSSI,1830
East Providence,COUNCIL EAST PROVIDENCE WARD 4,NON,WRITE-IN,14
East Providence,COUNCIL-AT-LARGE EAST PROVIDENCE,NON,Tracy Ann CAPOBIANCO,9388
East Providence,COUNCIL-AT-LARGE EAST PROVIDENCE,NON,WRITE-IN,220
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 1,NON,Charles S. TSONOS,2583
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 1,NON,WRITE-IN,55
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 2,NON,Anthony J. FERREIRA,1675
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 2,NON,WRITE-IN,34
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 3,NON,Nathan W. CAHOON,2008
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 3,NON,WRITE-IN,36
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 4,NON,Jessica BEAUCHAINE,1866
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 4,NON,Karen Nicole DOUCETTE,1656
East Providence,SCHOOL COMMITTEE EAST PROVIDENCE WARD 4,NON,WRITE-IN,28
East Providence,SCHOOL COMMITTEE-AT-LARGE EAST PROVIDENCE,NON,Joel MONTEIRO,9616
East Providence,SCHOOL COMMITTEE-AT-LARGE EAST PROVIDENCE,NON,WRITE-IN,177
East Providence,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,7641
East Providence,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,5269
East Providence,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,8287
East Providence,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,4277
East Providence,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,6999
East Providence,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,5589
East Providence,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,8075
East Providence,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,4407
East Providence,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,8042
East Providence,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,4748
East Providence,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,7689
East Providence,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,4597
East Providence,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,9434
East Providence,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,3283
Exeter,SENATOR IN CONGRESS,DEM,John F. REED,1535
Exeter,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,1124
Exeter,SENATOR IN CONGRESS,NON,WRITE-IN,3
Exeter,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,1353
Exeter,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,1294
Exeter,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,8
Exeter,GOVERNOR,REP,Allan W. FUNG,1147
Exeter,GOVERNOR,DEM,Gina M. RAIMONDO,771
Exeter,GOVERNOR,MOD,"Robert J. HEALEY, JR.",742
Exeter,GOVERNOR,IND,Kate L. FLETCHER,32
Exeter,GOVERNOR,IND,Leon M. KAYARIAN,13
Exeter,GOVERNOR,NON,WRITE-IN,8
Exeter,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,1150
Exeter,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,1041
Exeter,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,276
Exeter,LIEUTENANT GOVERNOR,Lib,Tony JONES,131
Exeter,LIEUTENANT GOVERNOR,NON,WRITE-IN,11
Exeter,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",1302
Exeter,SECRETARY OF STATE,DEM,Nellie M. GORBEA,1267
Exeter,SECRETARY OF STATE,NON,WRITE-IN,10
Exeter,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,1559
Exeter,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,1070
Exeter,ATTORNEY GENERAL,NON,WRITE-IN,3
Exeter,GENERAL TREASURER,IND,Ernest A. ALMONTE,1311
Exeter,GENERAL TREASURER,DEM,Seth MAGAZINER,1221
Exeter,GENERAL TREASURER,NON,WRITE-IN,3
Exeter,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,REP,Elaine J. MORGAN,1432
Exeter,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,DEM,Catherine COOL RUMSEY,1170
Exeter,SENATOR IN GENERAL ASSEMBLY DISTRICT 34,NON,WRITE-IN,6
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,REP,Doreen Marie COSTA,395
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,DEM,Julie A. CASIMIRO,343
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 31,NON,WRITE-IN,1
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 39,REP,Justin PRICE,1120
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 39,DEM,Larry VALENCIA,749
Exeter,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 39,NON,WRITE-IN,2
Exeter,TOWN MODERATOR TOWN OF EXETER,DEM,Peter V. LACOUTURE,1963
Exeter,TOWN MODERATOR TOWN OF EXETER,NON,WRITE-IN,41
Exeter,TOWN CLERK TOWN OF EXETER,DEM,Lynn M. HAWKINS,2029
Exeter,TOWN CLERK TOWN OF EXETER,NON,WRITE-IN,35
Exeter,TOWN COUNCIL TOWN OF EXETER,IND,"Raymond A. MORRISSEY, JR.",1319
Exeter,TOWN COUNCIL TOWN OF EXETER,DEM,Arlene B. HICKS,1279
Exeter,TOWN COUNCIL TOWN OF EXETER,REP,Kevin Phillip McGOVERN,1266
Exeter,TOWN COUNCIL TOWN OF EXETER,DEM,Calvin A. ELLIS,1223
Exeter,TOWN COUNCIL TOWN OF EXETER,REP,Daniel W. PATTERSON,1221
Exeter,TOWN COUNCIL TOWN OF EXETER,DEM,William P. MONAHAN,1138
Exeter,TOWN COUNCIL TOWN OF EXETER,REP,"Joseph ST. LAWRENCE, III",1126
Exeter,TOWN COUNCIL TOWN OF EXETER,DEM,Robert E. JOHNSON,1100
Exeter,TOWN COUNCIL TOWN OF EXETER,REP,"Milan E. ADAMS, IV",1065
Exeter,TOWN COUNCIL TOWN OF EXETER,DEM,Joyce BASTIEN,1029
Exeter,TOWN COUNCIL TOWN OF EXETER,NON,WRITE-IN,25
Exeter,SCHOOL COMMITTEE TOWN OF EXETER,IND,Theresa C. DONOVAN,1420
Exeter,SCHOOL COMMITTEE TOWN OF EXETER,REP,Diane Bampton ALLEN,1299
Exeter,SCHOOL COMMITTEE TOWN OF EXETER,DEM,Barbara A. MUHITCH,1140
Exeter,SCHOOL COMMITTEE TOWN OF EXETER,NON,WRITE-IN,7
Exeter,TOWN SERGEANT TOWN OF EXETER,REP,Richard S. BROWN,2228
Exeter,TOWN SERGEANT TOWN OF EXETER,NON,WRITE-IN,31
Exeter,TOWN TREASURER TOWN OF EXETER,DEM,Maria LAWLER,1968
Exeter,TOWN TREASURER TOWN OF EXETER,NON,WRITE-IN,37
Exeter,DIRECTOR OF PUBLIC WELFARE TOWN OF EXETER,IND,Christine HEART-SKAGGS,1956
Exeter,DIRECTOR OF PUBLIC WELFARE TOWN OF EXETER,NON,WRITE-IN,9
Exeter,ZONING INSPECTOR TOWN OF EXETER,REP,Hal MORGAN,2075
Exeter,ZONING INSPECTOR TOWN OF EXETER,NON,WRITE-IN,30
Exeter,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 APPROVE,1383
Exeter,QUESTION 1 - CASINO GAMING AT NEWPORT GRAND,NON,Question 1 REJECT,1260
Exeter,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 APPROVE,1764
Exeter,QUESTION 2 - RESTRICTION ON GAMBLING,NON,Question 2 REJECT,820
Exeter,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 REJECT,1470
Exeter,QUESTION 3 - CONSTITUTIONAL CONVENTION,NON,Question 3 APPROVE,1101
Exeter,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 APPROVE,1430
Exeter,QUESTION 4 - HIGHER EDUCATION FACILITIES BONDS,NON,Question 4 REJECT,1141
Exeter,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 REJECT,1401
Exeter,QUESTION 5 - CREATIVE AND CULTURAL ECONOMY BONDS,NON,Question 5 APPROVE,1222
Exeter,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 REJECT,1255
Exeter,QUESTION 6 - MASS TRANSIT HUB INFRASTRUCTURE BONDS,NON,Question 6 APPROVE,1243
Exeter,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 APPROVE,1664
Exeter,"QUESTION 7 - CLEAN WATER, OPEN SPACE, HEALTHY COMM BONDS",NON,Question 7 REJECT,960
Exeter,QUESTION 8 - TOWN OF EXETER,NON,Question 8 APPROVE,1680
Exeter,QUESTION 8 - TOWN OF EXETER,NON,Question 8 REJECT,941
Exeter,QUESTION 9 - TOWN OF EXETER,NON,Question 9 APPROVE,1650
Exeter,QUESTION 9 - TOWN OF EXETER,NON,Question 9 REJECT,943
Exeter,QUESTION 10 - TOWN OF EXETER,NON,Question 10 APPROVE,1618
Exeter,QUESTION 10 - TOWN OF EXETER,NON,Question 10 REJECT,942
Exeter,QUESTION 11 - TOWN OF EXETER,NON,Question 11 APPROVE,1734
Exeter,QUESTION 11 - TOWN OF EXETER,NON,Question 11 REJECT,841
Foster,SENATOR IN CONGRESS,DEM,John F. REED,1099
Foster,SENATOR IN CONGRESS,REP,Mark S. ZACCARIA,780
Foster,SENATOR IN CONGRESS,NON,WRITE-IN,3
Foster,REPRESENTATIVE IN CONGRESS DISTRICT 2,DEM,James R. LANGEVIN,985
Foster,REPRESENTATIVE IN CONGRESS DISTRICT 2,REP,Rhue R. REIS,885
Foster,REPRESENTATIVE IN CONGRESS DISTRICT 2,NON,WRITE-IN,2
Foster,GOVERNOR,REP,Allan W. FUNG,732
Foster,GOVERNOR,MOD,"Robert J. HEALEY, JR.",604
Foster,GOVERNOR,DEM,Gina M. RAIMONDO,534
Foster,GOVERNOR,IND,Kate L. FLETCHER,30
Foster,GOVERNOR,IND,Leon M. KAYARIAN,8
Foster,GOVERNOR,NON,WRITE-IN,2
Foster,LIEUTENANT GOVERNOR,DEM,Daniel J. McKEE,788
Foster,LIEUTENANT GOVERNOR,REP,Catherine Terry TAYLOR,705
Foster,LIEUTENANT GOVERNOR,MOD,William H. GILBERT,216
Foster,LIEUTENANT GOVERNOR,Lib,Tony JONES,109
Foster,LIEUTENANT GOVERNOR,NON,WRITE-IN,5
Foster,SECRETARY OF STATE,REP,"John M. CARLEVALE, SR.",920
Foster,SECRETARY OF STATE,DEM,Nellie M. GORBEA,907
Foster,SECRETARY OF STATE,NON,WRITE-IN,4
Foster,ATTORNEY GENERAL,REP,Dawson Tucker HODGSON,1013
Foster,ATTORNEY GENERAL,DEM,Peter F. KILMARTIN,834
Foster,ATTORNEY GENERAL,NON,WRITE-IN,3
Foster,GENERAL TREASURER,IND,Ernest A. ALMONTE,999
Foster,GENERAL TREASURER,DEM,Seth MAGAZINER,821
Foster,GENERAL TREASURER,NON,WRITE-IN,2
Foster,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,REP,Nicholas D. KETTLE,1004
Foster,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,DEM,Margaux S. MORISSEAU,653
Foster,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,IND,Zachary FARNUM,216
Foster,SENATOR IN GENERAL ASSEMBLY DISTRICT 21,NON,WRITE-IN,2
Foster,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,REP,Michael W. CHIPPENDALE,1270
Foster,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,DEM,Joseph D. CARDILLO,595
Foster,REPRESENTATIVE IN GENERAL ASSEMBLY DISTRICT 40,NON,WRITE-IN,4
Foster,TOWN MODERATOR TOWN OF FOSTER,NON,Robert A. BOYDEN,1452
Foster,TOWN MODERATOR TOWN OF FOSTER,NON,WRITE-IN,22
Foster,TOWN CLERK TOWN OF FOSTER,NON,Jane CHRISTOPHER,1425
Foster,TOWN CLERK TOWN OF FOSTER,NON,WRITE-IN,19
Foster,TOWN COUNCIL TOWN OF FOSTER,REP,Denise L. DiFRANCO,937
Foster,TOWN COUNCIL TOWN OF FOSTER,DEM,"John L. LEWIS, JR.",818
Foster,TOWN COUNCIL TOWN OF FOSTER,DEM,Roger Leroy HAWES,816
Foster,TOWN COUNCIL TOWN OF FOSTER,IND,Gordon E. ROGERS,800
Foster,TOWN COUNCIL TOWN OF FOSTER,DEM,Jon RESTIVO,775
Foster,TOWN COUNCIL TOWN OF FOSTER,DEM,Lynne Stender RIDER,768
Foster,TOWN COUNCIL TOWN OF FOSTER,REP,Christie H. STONE,763
Foster,TOWN COUNCIL TOWN OF FOSTER,REP,Bradford SMITH,734
Foster,TOWN COUNCIL TOWN OF FOSTER,IND,Michael E. DILLON,703
Foster,TOWN COUNCIL TOWN OF FOSTER,IND,James J. SHELDON,687
Foster,TOWN COUNCIL TOWN OF FOSTER,IND,Anthony J. RENZI,637
Foster,TOWN COUNCIL TOWN OF FOSTER,NON,WRITE-IN,16
Foster,NON-PARTISAN SCHOOL COMMITTEE TOWN OF FOSTER,NON,Shelley D. PEZZA,1273
Foster,NON-PARTISAN SCHOOL COMMITTEE TOWN OF FOSTER,NON,Kathleen Tegan SWANSON,1231
Foster,NON-PARTISAN SCHOOL COMMITTEE TOWN OF FOSTER,NON,Ronald F. CERVASIO,1051
Foster,NON-PARTISAN SCHOOL COMMITTEE TOWN OF FOSTER,NON,WRITE-IN,56
Foster,TOWN SERGEANT TOWN OF FOSTER,DEM,Michael COGGESHALL,1204
Foster,TOWN SERGEANT TOWN OF FOSTER,REP,Erasmo TORRES,574
Foster,TOWN SERGEANT TOWN OF FOSTER,NON,WRITE-IN,1
Foster,TAX BOARD OF REVIEW TOWN OF FOSTER,DEM,Mary Agnes FENNESSEY,1357
Foster,TAX BOARD OF REVIEW TOWN OF FOSTER,NON,WRITE-IN,28
